r_add,num_service,time_avg,time_max,time_min,unav_avg,unav_max,unav_min
0.8,6,0.540656328201294,0.6270780563354492,0.3868551254272461,1.44033851512404e-08,1.44033851512404e-08,1.44033851512404e-08
0.8,7,0.7612001657485962,0.9440703392028809,0.5817751884460449,1.569507057652686e-08,1.569507057652686e-08,1.569507057652686e-08
0.8,8,1.0810876607894897,1.241015911102295,0.9425241947174072,1.698675600181332e-08,1.698675600181332e-08,1.698675600181332e-08
0.8,9,1.5187387704849242,1.8126482963562012,1.3201699256896973,2.2935952692648698e-08,2.2935952692648698e-08,2.2935952692648698e-08
0.8,10,1.9576743602752686,2.3067078590393066,1.6665189266204834,2.4227638018015085e-08,2.4227638117935157e-08,2.4227638006912855e-08
1,6,0.9625865697860718,1.045436143875122,0.9389729499816895,0.00018205671464749384,0.00019259151920858475,0.00017152191008640294
1,7,1.4620723724365234,1.507864236831665,1.428966760635376,0.00019313903485914662,0.00022852462246436556,0.0001711740402878803
1,8,2.133982753753662,2.1771252155303955,2.0856897830963135,0.0002159196757084314,0.0002644564342837441,0.0001785973730348278
1,9,2.912676787376404,3.055213689804077,2.8128137588500977,0.00024232732129602085,0.00030038695471290566,0.00020317569867001062
1,10,3.931898665428162,4.06613302230835,3.772610902786255,0.0002651308337606739,0.00029613669685402133,0.0002296789568905222
1.2,6,0.9364432096481323,1.0361719131469727,0.9100348949432373,0.0002156207756472961,0.0002156207756472961,0.0002156207756472961
1.2,7,1.1592889070510863,1.264103889465332,1.050382137298584,0.0002515530512311459,0.0002515530512311459,0.0002515530512311459
1.2,8,1.889123272895813,2.0226480960845947,1.747960090637207,0.0002874840354081254,0.0002874840354081254,0.0002874840354081254
1.2,9,2.745683479309082,2.842622995376587,2.548412799835205,0.00032341372822464187,0.00032341372822464187,0.00032341372822464187
1.2,10,3.839052677154541,4.017040014266968,3.6242339611053467,0.00035934212972710267,0.00035934212972710267,0.00035934212972710267
