r_add,num_service,average_value,std_dev
0.8,6,6.0,0.0
0.8,6,6.0,0.0
0.8,6,6.0,0.0
0.8,6,6.0,0.0
0.8,6,6.0,0.0
0.8,6,6.0,0.0
0.8,6,6.0,0.0
0.8,6,6.0,0.0
0.8,6,6.0,0.0
0.8,6,6.0,0.0
1,6,1.2,0.4000000000000001
1,6,2.0,1.4142135623730951
1,6,1.2,0.4000000000000001
1,6,1.2,0.4000000000000001
1,6,1.5,0.8660254037844386
1,6,1.2,0.4000000000000001
1,6,1.2,0.4000000000000001
1,6,1.2,0.4000000000000001
1,6,1.5,0.8660254037844386
1,6,1.2,0.4000000000000001
1.2,6,1.0,0.0
1.2,6,1.0,0.0
1.2,6,1.0,0.0
1.2,6,1.0,0.0
1.2,6,1.0,0.0
1.2,6,1.0,0.0
1.2,6,1.0,0.0
1.2,6,1.0,0.0
1.2,6,1.0,0.0
1.2,6,1.0,0.0
0.8,8,2.6666666666666665,2.3570226039551585
0.8,8,2.6666666666666665,2.3570226039551585
0.8,8,2.6666666666666665,2.3570226039551585
0.8,8,2.6666666666666665,2.3570226039551585
0.8,8,2.6666666666666665,2.3570226039551585
0.8,8,2.6666666666666665,2.3570226039551585
0.8,8,2.6666666666666665,2.3570226039551585
0.8,8,2.6666666666666665,2.3570226039551585
0.8,8,2.6666666666666665,2.3570226039551585
0.8,8,2.6666666666666665,2.3570226039551585
1,8,1.6,1.2000000000000002
1,8,1.3333333333333333,0.74535599249993
1,8,1.1428571428571428,0.34992710611188266
1,8,1.6,1.2000000000000002
1,8,2.0,1.7320508075688772
1,8,1.3333333333333333,0.74535599249993
1,8,1.1428571428571428,0.34992710611188266
1,8,1.3333333333333333,0.74535599249993
1,8,1.1428571428571428,0.34992710611188266
1,8,1.3333333333333333,0.74535599249993
1.2,8,1.0,0.0
1.2,8,1.0,0.0
1.2,8,1.0,0.0
1.2,8,1.0,0.0
1.2,8,1.0,0.0
1.2,8,1.0,0.0
1.2,8,1.0,0.0
1.2,8,1.0,0.0
1.2,8,1.0,0.0
1.2,8,1.0,0.0
0.8,10,2.5,2.598076211353316
0.8,10,2.5,2.598076211353316
0.8,10,2.5,2.598076211353316
0.8,10,2.5,2.598076211353316
0.8,10,2.5,2.598076211353316
0.8,10,2.5,2.598076211353316
0.8,10,2.5,2.598076211353316
0.8,10,2.5,2.598076211353316
0.8,10,2.5,2.598076211353316
0.8,10,2.5,2.598076211353316
1,10,1.25,0.6614378277661477
1,10,1.0,0.0
1,10,1.25,0.6614378277661477
1,10,1.1111111111111112,0.3142696805273545
1,10,1.1111111111111112,0.3142696805273545
1,10,1.1111111111111112,0.3142696805273545
1,10,1.1111111111111112,0.3142696805273545
1,10,1.1111111111111112,0.3142696805273545
1,10,1.1111111111111112,0.3142696805273545
1,10,1.25,0.6614378277661477
1.2,10,1.0,0.0
1.2,10,1.0,0.0
1.2,10,1.0,0.0
1.2,10,1.0,0.0
1.2,10,1.0,0.0
1.2,10,1.0,0.0
1.2,10,1.0,0.0
1.2,10,1.0,0.0
1.2,10,1.0,0.0
1.2,10,1.0,0.0
0.8,12,2.4,2.8
0.8,12,3.0,3.4641016151377544
0.8,12,2.4,2.8
0.8,12,4.0,3.559026084010437
0.8,12,2.4,2.8
0.8,12,2.4,2.8
0.8,12,2.4,2.8
0.8,12,3.0,3.4641016151377544
0.8,12,3.0,2.9154759474226504
0.8,12,3.0,3.4641016151377544
1,12,1.0909090909090908,0.28747978728803447
1,12,1.0909090909090908,0.28747978728803447
1,12,1.0909090909090908,0.28747978728803447
1,12,1.0909090909090908,0.28747978728803447
1,12,1.0909090909090908,0.28747978728803447
1,12,1.0909090909090908,0.28747978728803447
1,12,1.2,0.6000000000000001
1,12,1.0909090909090908,0.28747978728803447
1,12,1.0909090909090908,0.28747978728803447
1,12,1.0909090909090908,0.28747978728803447
1.2,12,1.0,0.0
1.2,12,1.0,0.0
1.2,12,1.0,0.0
1.2,12,1.0,0.0
1.2,12,1.0,0.0
1.2,12,1.0,0.0
1.2,12,1.0,0.0
1.2,12,1.0,0.0
1.2,12,1.0,0.0
1.2,12,1.0,0.0
